rank	bigrama	conteo
389	that year	273641
390	place in	273131
391	was established	271713
392	and also	270921
393	founded in	270572
394	used for	270345
395	went on	269433
396	the three	269031
397	the rest	268698
398	with her	267810
399	in her	267162
400	written by	267020
401	and her	265059
402	form of	264472
403	led by	264405
404	the region	264174
405	was founded	263718
406	played in	263484
407	united kingdom	262724
408	both the	262446
409	the southern	261728
410	followed by	261349
411	is known	261260
412	the northern	260412
413	the public	260172
414	from his	259378
415	he would	259201
416	who were	258778
417	associated with	258597
418	as it	257851
419	but was	257634
420	produced by	257386
421	the party	256681
422	of them	255372
423	total of	254777
424	the middle	254681
425	his career	254482
426	would have	254468
427	result of	254318
428	development of	253751
429	and two	253150
430	consists of	251681
431	to win	251346
432	his death	250648
433	which are	249847
434	it to	249368
435	to her	249080
436	was later	248952
437	as one	248615
438	head of	247770
439	their own	247307
440	on february	247034
441	were the	246846
442	two years	246341
443	north of	245997
444	parts of	245844
445	the island	245744
446	town of	245360
447	be used	245285
448	board of	244776
449	of two	244547
450	the european	244262
451	return to	243311
452	was made	241844
453	was awarded	241630
454	it had	240580
455	where she	240384
456	established in	240020
457	the league	239981
458	on their	239571
459	name of	239052
460	rest of	238646
461	south of	238625
462	time in	238434
463	west of	238070
464	the right	237700
465	that are	237389
466	which had	237374
467	the king	237067
468	was announced	236845
469	east of	236667
470	up in	236424
471	if the	236332
472	after his	236252
473	same year	235632
474	as he	234941
475	village in	234882
476	minister of	234574
477	the previous	234418
478	similar to	233909
479	the use	233416
480	the fourth	233256
481	the story	232384
482	their first	232383
483	and on	232256
484	he died	232100
485	award for	231368
486	are also	229947
487	the eastern	229467
488	them to	228621
489	the highest	228247
490	the line	228155
491	and as	227496
492	participated in	227390
493	she has	227098
494	are not	227084
495	that of	225665
496	as they	225608
497	when it	224055
498	prime minister	223843
499	responsible for	223816
500	lack of	223779
501	the people	223514
502	in london	222936
503	the current	222198
504	also the	221946
505	the event	221864
506	the general	221420
507	to create	220874
508	the entire	220718
509	based in	219868
510	the project	219083
511	much of	219062
512	in early	218816
513	who is	218612
514	and they	218472
515	to work	217871
516	world cup	217833
517	but it	217749
518	played for	217745
519	the case	217670
520	the head	217480
521	used as	217185
522	to get	216987
523	which were	216623
524	in that	216313
525	named after	215664
526	he won	215516
527	for an	215468
528	or the	215321
529	the county	214689
530	construction of	214609
531	was used	214283
532	to use	214038
533	to do	213815
534	the court	213224
535	do not	212611
536	head coach	212564
537	variety of	212259
538	the mid	212018
539	the role	211242
540	daughter of	210712
541	is to	209944
542	described as	209758
543	and were	209137
544	up the	208786
545	off the	208779
546	summer olympics	208252
547	where it	208136
548	to help	208035
549	were also	206268
550	together with	205782
551	half of	205773
552	and became	205726
553	the work	205601
554	years later	205388
555	they have	205309
556	came to	205308
557	went to	205229
558	institute of	205005
559	the development	204713
560	air force	204486
561	where they	204401
562	were not	204216
563	the beginning	204099
564	to provide	203985
565	related to	203745
566	the music	203387
567	although the	203338
568	order of	203109
569	by an	202774
570	replaced by	201239
571	church of	201044
572	that time	200802
573	the president	200739
574	its first	199827
575	the department	198974
576	was originally	198867
577	it would	198841
578	worked as	198662
579	may have	198616
580	and are	198544
581	she had	198471
582	was published	198367
583	of those	198356
584	the soviet	198265
585	it also	198229
586	is found	198020
587	the death	197388
588	of that	197379
589	not be	197086
590	used by	197075
591	in some	197073
592	in late	196824
593	the russian	196008
594	left the	195878
595	population was	194935
596	majority of	194327
597	football league	194114
598	part in	193946
599	ministry of	193813
600	in north	193680
601	to this	193244
602	should be	193201
603	in south	192966
604	during this	192549
605	is used	192496
606	and at	192455
607	at an	192422
608	the summer	192345
609	republic of	192045
610	opened in	191348
611	the son	190871
612	the construction	190695
613	resulted in	190670
614	range of	190432
615	the field	189682
616	the term	189648
617	owned by	189337
618	transferred to	188900
619	not to	188861
620	each other	188618
621	the day	188303
622	the army	187611
623	in both	187571
624	his work	187531
625	the federal	187527
626	and for	186791
627	university in	185829
628	chairman of	185789
629	to as	184960
630	of st	184818
631	role of	184563
632	in all	184341
633	the order	184271
634	san francisco	183268
635	the community	182994
636	the municipality	182962
637	hong kong	182886
638	with their	182776
639	football team	182577
640	for this	182466
641	death of	181880
642	south africa	181771
643	competed in	181611
644	the way	181542
645	died on	181332
646	could not	181261
647	access to	181241
648	beginning of	180771
649	the australian	180659
650	that were	180369
651	was created	180222
652	de la	179713
653	of three	179571
654	it as	179433
655	his family	178634
656	the high	178603
657	with its	178501
658	civil war	178360
659	awarded the	178167
660	instead of	178135
661	railway station	177650
662	the men	177646
663	the board	177539
664	to form	176869
665	elected to	176660
666	she also	176633
667	the council	176558
668	general election	176307
669	the history	176307
670	reported that	176232
671	film was	176144
672	the women	176053
673	an average	175873
674	located on	175811
675	failed to	175778
676	he received	175534
677	was then	175439
678	received the	175301
679	degree in	175293
680	no longer	175064
681	when she	174975
682	government of	174857
683	unable to	174341
684	same time	174275
685	using the	173687
686	home to	173214
687	he joined	173127
688	he then	172859
689	at that	172714
690	secretary of	172343
691	supreme court	172316
692	so that	171934
693	born on	171843
694	court of	171477
695	compared to	171062
696	period of	170977
697	new jersey	170945
698	control of	170588
699	following year	170494
700	interest in	170353
701	promoted to	170220
702	would not	170218
703	the english	170093
704	had the	169804
705	region of	169619
706	located at	169446
707	the tournament	168900
708	his son	168713
709	published by	168612
710	he worked	168539
711	but he	168436
712	the ship	168125
713	the race	168117
714	studio album	167861
715	its own	167753
716	the lead	167622
717	the indian	167614
718	to find	167468
719	the land	167370
720	at number	167303
721	the four	166996
722	graduated from	166517
723	and by	166316
724	an important	166210
725	the average	166204
726	less than	165705
727	held on	165664
728	on its	165604
729	academy of	165337
730	village of	165262
731	away from	165261
732	his mother	164953
733	the center	164943
734	professor of	164506
735	but also	164038
736	council of	163930
737	described by	163734
738	the spanish	163717
739	was given	163640
740	the road	163190
741	to join	163047
742	and education	162871
743	served in	162867
744	her husband	162680
745	collection of	162537
746	the ground	162211
747	with no	162165
748	close to	161876
749	consisted of	161661
750	when they	161623
751	college of	161597
752	edition of	161457
753	the official	161327
754	the park	161260
755	that would	161072
756	north america	160950
757	the opening	160842
758	way to	160407
759	the majority	160343
760	the upper	160215
761	in europe	159974
762	set up	159778
763	of state	159704
764	sent to	159610
765	for best	159496
766	attempt to	159423
767	the match	159345
768	was part	158748
769	to go	158513
770	as his	158269
771	that had	158141
772	the college	158016
773	wanted to	157894
774	her first	157710
775	like the	157630
776	towards the	157439
777	is no	157358
778	to support	157214
779	music video	156856
780	work on	156796
781	the genus	156761
782	with other	156703
783	entered the	155966
784	he did	155869
785	in one	155698
786	of any	155569
787	to serve	155413
788	designed by	155384
789	lived in	154875
790	three years	154830
791	included in	154689
792	to give	154673
793	has an	153976
794	not have	153719
795	front of	153631
796	his brother	153498
797	which has	152940
798	win the	152604
799	team in	152498
800	was selected	152484
801	her to	152155
802	footballer who	151924
803	at this	151855
804	work in	151767
805	film festival	151702
806	the red	151692
807	that there	151454
808	as in	151443
809	living in	151400
810	the lower	151283
811	not only	151200
812	being the	151054
813	the start	150766
814	in other	150738
815	include the	150664
816	or more	150516
817	north carolina	150475
818	the total	150470
819	because the	150427
820	chief of	150317
821	is that	150269
822	also been	150210
823	the japanese	150207
824	in many	149970
825	were made	149805
826	death in	149782
827	and from	149671
828	began in	149635
829	the museum	149609
830	the single	149327
831	in two	149319
832	to build	149317
833	led the	149238
834	is currently	148812
835	forced to	148406
836	made up	148238
837	on an	148233
838	the ministry	148228
839	his debut	148036
840	that his	147925
841	her father	147834
842	of representatives	147823
843	the police	147814
844	site of	147738
845	an english	147709
846	he returned	147568
847	years old	147545
848	response to	147465
849	the military	147353
850	hall of	147266
851	type of	147250
852	those who	147047
853	state university	146767
854	national team	146744
855	was completed	146551
856	production of	146166
857	and more	145859
858	amount of	145660
859	was described	144908
860	the idea	144716
861	who played	144610
862	the canadian	144419
863	province of	144371
864	with two	144327
865	and she	144247
866	must be	143706
867	the election	143680
868	to him	143420
869	in france	143118
870	intended to	143047
871	the front	142546
872	and with	142461
873	is part	142296
874	governor of	142286
875	in paris	142245
876	of india	142027
877	up of	141936
878	despite the	141870
879	until his	141749
880	shortly after	141643
881	the median	141447
882	in australia	141143
883	during world	140818
884	terms of	140698
885	only one	140614
886	and south	140566
887	up with	140381
888	the province	140365
889	association of	140086
890	an area	139771
891	later in	139689
892	leading to	139530
893	first round	139497
894	museum of	139488
895	school and	139435
896	ability to	139326
897	the air	138987
898	the union	138865
899	round of	138829
900	after being	138701
901	also be	138665
902	the process	138571
903	added to	138372
904	was replaced	138344
905	the home	138269
906	and new	138117
907	the whole	138065
908	made the	138030
909	is still	137863
910	assigned to	137840
911	contract with	137735
912	the episode	137709
913	and some	137665
914	is considered	137566
915	was formed	137558
916	have the	137546
917	he and	137527
918	south wales	137503
919	two of	137468
